NO-GUROBI HEURISTIC SOLUTION
====================================

problemName: 20170607T112250854254
vehicleFileID: 101
cutoffTime: 3600.000000
problemType: 2
problemTypeString: mFSTSP No-Gurobi Heuristic
numUAVs: 3
numTrucks: -1
requireTruckAtDepot: True
requireDriver: True
Etype: 3
ITER: 1

Objective Function Value: 19587.050780
Truck Waiting Time: 1411.092334
UAV Waiting Time: 7482.582609
Number of Truck Customers: 35
Number of UAV Customers: 65
Runtime: 37.577029

Validation:
{'valid': True, 'missing_customers': [], 'duplicated_customers': [], 'extra_customers': []}

Truck Customers:
[3, 5, 7, 8, 10, 12, 21, 24, 26, 28, 29, 32, 35, 37, 42, 46, 49, 52, 53, 58, 59, 64, 66, 67, 70, 71, 74, 75, 76, 79, 82, 85, 86, 87, 95]

UAV Customers:
[68, 40, 14, 13, 99, 27, 11, 34, 25, 100, 50, 73, 77, 98, 18, 65, 47, 84, 43, 54, 88, 61, 60, 96, 97, 19, 36, 23, 57, 6, 15, 39, 48, 69, 81, 9, 20, 56, 63, 92, 4, 91, 80, 83, 1, 41, 94, 72, 89, 22, 62, 45, 55, 17, 38, 44, 78, 90, 51, 93, 31, 30, 16, 33, 2]

Truck Route:
[0, 49, 82, 46, 7, 32, 71, 12, 64, 59, 70, 67, 74, 26, 87, 35, 79, 95, 42, 3, 66, 24, 21, 5, 85, 10, 53, 29, 76, 8, 28, 75, 86, 52, 58, 37, 0]

UAV Sorties:
(2, 53, 68, 29)
(2, 7, 40, 32)
(2, 74, 14, 26)
(2, 37, 13, 0)
(2, 28, 99, 75)
(2, 8, 27, 28)
(2, 21, 11, 5)
(2, 87, 34, 35)
(3, 74, 25, 26)
(2, 75, 100, 86)
(3, 28, 50, 75)
(2, 86, 73, 52)
(3, 7, 77, 32)
(2, 35, 98, 79)
(3, 8, 18, 28)
(2, 79, 65, 95)
(3, 75, 47, 86)
(3, 37, 84, 0)
(4, 28, 43, 75)
(4, 75, 54, 86)
(4, 37, 88, 0)
(3, 79, 61, 95)
(3, 35, 60, 79)
(2, 85, 96, 10)
(4, 35, 97, 79)
(2, 95, 19, 42)
(3, 21, 36, 5)
(4, 21, 23, 5)
(4, 79, 57, 95)
(3, 85, 6, 10)
(4, 74, 15, 26)
(3, 87, 39, 35)
(3, 86, 48, 52)
(3, 53, 69, 29)
(4, 53, 81, 29)
(2, 3, 9, 66)
(2, 24, 20, 21)
(3, 24, 56, 21)
(3, 3, 63, 66)
(3, 95, 92, 42)
(4, 7, 4, 32)
(4, 24, 91, 21)
(2, 66, 80, 24)
(4, 95, 83, 42)
(4, 85, 1, 10)
(4, 86, 41, 52)
(2, 82, 94, 46)
(4, 3, 72, 66)
(3, 66, 89, 24)
(3, 82, 22, 46)
(4, 66, 62, 24)
(4, 82, 45, 46)
(2, 52, 55, 58)
(2, 5, 17, 85)
(4, 87, 38, 35)
(3, 52, 44, 58)
(2, 58, 78, 37)
(2, 32, 90, 71)
(4, 52, 51, 58)
(3, 5, 93, 85)
(4, 5, 31, 85)
(2, 76, 30, 8)
(3, 58, 16, 37)
(2, 26, 33, 87)
(4, 58, 2, 37)

Activity Log:
{'time': 0, 'activity': 'truck_arrive', 'node': 0}
{'time': 30.0, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 37, 'uav_customer': 13, 'recovery_node': 0}
{'time': 60.0, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 37, 'uav_customer': 84, 'recovery_node': 0}
{'time': 90.0, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 37, 'uav_customer': 88, 'recovery_node': 0}
{'time': 248.837523, 'activity': 'truck_travel_done', 'from': 0, 'to': 49}
{'time': 248.837523, 'activity': 'truck_arrive', 'node': 49}
{'time': 278.83752300000003, 'activity': 'truck_service_done', 'node': 49}
{'time': 478.23091300000004, 'activity': 'truck_travel_done', 'from': 49, 'to': 82}
{'time': 478.23091300000004, 'activity': 'truck_arrive', 'node': 82}
{'time': 508.23091300000004, 'activity': 'truck_service_done', 'node': 82}
{'time': 568.2309130000001, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 82, 'uav_customer': 94, 'recovery_node': 46, 'uav_expected_recovery_time': 992.4041560120527}
{'time': 628.2309130000001, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 82, 'uav_customer': 22, 'recovery_node': 46, 'uav_expected_recovery_time': 1069.0226892577793}
{'time': 688.2309130000001, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 82, 'uav_customer': 45, 'recovery_node': 46, 'uav_expected_recovery_time': 1143.612646579525}
{'time': 968.8553790000001, 'activity': 'truck_travel_done', 'from': 82, 'to': 46}
{'time': 968.8553790000001, 'activity': 'truck_arrive', 'node': 46}
{'time': 1022.4041560120527, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 82, 'uav_customer': 94, 'recovery_node': 46}
{'time': 1099.0226892577793, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 82, 'uav_customer': 22, 'recovery_node': 46}
{'time': 1173.612646579525, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 82, 'uav_customer': 45, 'recovery_node': 46}
{'time': 1203.612646579525, 'activity': 'truck_service_done', 'node': 46}
{'time': 1322.115437579525, 'activity': 'truck_travel_done', 'from': 46, 'to': 7}
{'time': 1322.115437579525, 'activity': 'truck_arrive', 'node': 7}
{'time': 1352.115437579525, 'activity': 'truck_service_done', 'node': 7}
{'time': 1412.115437579525, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 7, 'uav_customer': 40, 'recovery_node': 32, 'uav_expected_recovery_time': 1968.7770036276202}
{'time': 1472.115437579525, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 7, 'uav_customer': 77, 'recovery_node': 32, 'uav_expected_recovery_time': 2015.8128040204913}
