NO-GUROBI HEURISTIC SOLUTION
====================================

problemName: 20170607T111421374488
vehicleFileID: 101
cutoffTime: 3600.000000
problemType: 2
problemTypeString: mFSTSP No-Gurobi Heuristic
numUAVs: 3
numTrucks: -1
requireTruckAtDepot: True
requireDriver: True
Etype: 3
ITER: 1

Objective Function Value: 19745.786305
Truck Waiting Time: 967.651596
UAV Waiting Time: 4609.537470
Number of Truck Customers: 36
Number of UAV Customers: 64
Runtime: 63.268184

Validation:
{'valid': True, 'missing_customers': [], 'duplicated_customers': [], 'extra_customers': []}

Truck Customers:
[1, 4, 7, 8, 15, 16, 19, 21, 22, 26, 30, 31, 33, 34, 37, 41, 43, 46, 47, 49, 52, 59, 60, 63, 64, 66, 68, 69, 70, 74, 80, 81, 88, 94, 96, 98]

UAV Customers:
[87, 23, 48, 25, 6, 27, 38, 57, 9, 14, 62, 58, 17, 55, 51, 13, 61, 86, 91, 11, 10, 85, 100, 40, 24, 54, 39, 35, 28, 89, 32, 76, 90, 83, 67, 92, 72, 5, 53, 2, 71, 3, 65, 36, 50, 84, 56, 97, 44, 18, 95, 82, 99, 73, 79, 45, 93, 42, 12, 78, 20, 29, 77, 75]

Truck Route:
[0, 52, 30, 81, 37, 22, 31, 15, 7, 63, 98, 49, 21, 1, 33, 4, 16, 43, 34, 74, 59, 60, 68, 8, 46, 66, 70, 80, 96, 88, 64, 26, 94, 69, 19, 41, 47, 0]

UAV Sorties:
(2, 15, 87, 7)
(2, 34, 23, 74)
(2, 69, 48, 19)
(2, 4, 25, 16)
(2, 63, 6, 98)
(2, 7, 27, 63)
(2, 96, 38, 88)
(2, 33, 57, 4)
(2, 21, 9, 1)
(2, 74, 14, 59)
(3, 7, 62, 63)
(2, 60, 58, 68)
(2, 94, 17, 69)
(2, 8, 55, 46)
(2, 41, 51, 47)
(3, 74, 13, 59)
(3, 94, 61, 69)
(2, 66, 86, 70)
(2, 80, 91, 96)
(3, 33, 11, 4)
(3, 15, 10, 7)
(2, 68, 85, 8)
(4, 33, 100, 4)
(3, 66, 40, 70)
(3, 4, 24, 16)
(4, 4, 54, 16)
(3, 34, 39, 74)
(4, 34, 35, 74)
(2, 31, 28, 15)
(3, 41, 89, 47)
(3, 60, 32, 68)
(3, 63, 76, 98)
(4, 63, 90, 98)
(3, 80, 83, 96)
(4, 74, 67, 59)
(4, 7, 92, 63)
(4, 66, 72, 70)
(4, 80, 5, 96)
(2, 98, 53, 49)
(2, 1, 2, 33)
(3, 98, 71, 49)
(2, 70, 3, 80)
(4, 41, 65, 47)
(3, 68, 36, 8)
(4, 94, 50, 69)
(4, 15, 84, 7)
(2, 19, 56, 41)
(2, 64, 97, 26)
(2, 49, 44, 21)
(4, 68, 18, 8)
(4, 98, 95, 49)
(3, 69, 82, 19)
(3, 21, 99, 1)
(3, 19, 73, 41)
(4, 60, 79, 68)
(4, 69, 45, 19)
(4, 21, 93, 1)
(4, 19, 42, 41)
(3, 1, 12, 33)
(4, 1, 78, 33)
(3, 31, 20, 15)
(3, 70, 29, 80)
(2, 16, 77, 43)
(3, 16, 75, 43)

Activity Log:
{'time': 0, 'activity': 'truck_arrive', 'node': 0}
{'time': 340.747227, 'activity': 'truck_travel_done', 'from': 0, 'to': 52}
{'time': 340.747227, 'activity': 'truck_arrive', 'node': 52}
{'time': 370.747227, 'activity': 'truck_service_done', 'node': 52}
{'time': 508.074051, 'activity': 'truck_travel_done', 'from': 52, 'to': 30}
{'time': 508.074051, 'activity': 'truck_arrive', 'node': 30}
{'time': 538.074051, 'activity': 'truck_service_done', 'node': 30}
{'time': 642.6551860000001, 'activity': 'truck_travel_done', 'from': 30, 'to': 81}
{'time': 642.6551860000001, 'activity': 'truck_arrive', 'node': 81}
{'time': 672.6551860000001, 'activity': 'truck_service_done', 'node': 81}
{'time': 800.984896, 'activity': 'truck_travel_done', 'from': 81, 'to': 37}
{'time': 800.984896, 'activity': 'truck_arrive', 'node': 37}
{'time': 830.984896, 'activity': 'truck_service_done', 'node': 37}
{'time': 952.6026360000001, 'activity': 'truck_travel_done', 'from': 37, 'to': 22}
{'time': 952.6026360000001, 'activity': 'truck_arrive', 'node': 22}
{'time': 982.6026360000001, 'activity': 'truck_service_done', 'node': 22}
{'time': 993.373503, 'activity': 'truck_travel_done', 'from': 22, 'to': 31}
{'time': 993.373503, 'activity': 'truck_arrive', 'node': 31}
{'time': 1023.373503, 'activity': 'truck_service_done', 'node': 31}
{'time': 1083.373503, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 31, 'uav_customer': 28, 'recovery_node': 15, 'uav_expected_recovery_time': 1333.536413257351}
{'time': 1143.373503, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 31, 'uav_customer': 20, 'recovery_node': 15, 'uav_expected_recovery_time': 1606.2513925027338}
{'time': 1373.974177, 'activity': 'truck_travel_done', 'from': 31, 'to': 15}
{'time': 1373.974177, 'activity': 'truck_arrive', 'node': 15}
{'time': 1403.974177, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 31, 'uav_customer': 28, 'recovery_node': 15}
{'time': 1636.2513925027338, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 31, 'uav_customer': 20, 'recovery_node': 15}
{'time': 1666.2513925027338, 'activity': 'truck_service_done', 'node': 15}
{'time': 1726.2513925027338, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 15, 'uav_customer': 87, 'recovery_node': 7, 'uav_expected_recovery_time': 2351.5693251524613}
{'time': 1786.2513925027338, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 15, 'uav_customer': 10, 'recovery_node': 7, 'uav_expected_recovery_time': 2401.0489978547025}
{'time': 1846.2513925027338, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 15, 'uav_customer': 84, 'recovery_node': 7, 'uav_expected_recovery_time': 2528.284954549461}
