NO-GUROBI HEURISTIC SOLUTION
====================================

problemName: 20170606T115823934453
vehicleFileID: 101
cutoffTime: 3600.000000
problemType: 2
problemTypeString: mFSTSP No-Gurobi Heuristic
numUAVs: 3
numTrucks: -1
requireTruckAtDepot: True
requireDriver: True
Etype: 3
ITER: 1

Objective Function Value: 20195.908686
Truck Waiting Time: 994.154048
UAV Waiting Time: 5615.887564
Number of Truck Customers: 33
Number of UAV Customers: 67
Runtime: 66.640814

Validation:
{'valid': True, 'missing_customers': [], 'duplicated_customers': [], 'extra_customers': []}

Truck Customers:
[1, 3, 6, 7, 8, 11, 12, 14, 23, 24, 28, 38, 48, 51, 55, 56, 57, 58, 61, 63, 68, 71, 72, 75, 76, 78, 79, 80, 82, 90, 93, 98, 100]

UAV Customers:
[26, 31, 73, 83, 43, 39, 67, 41, 89, 53, 35, 5, 34, 46, 22, 66, 29, 17, 92, 44, 88, 64, 84, 32, 99, 81, 19, 52, 50, 45, 94, 65, 85, 33, 21, 4, 2, 62, 49, 40, 27, 37, 60, 47, 69, 42, 13, 96, 20, 91, 59, 30, 15, 16, 36, 70, 9, 74, 54, 10, 77, 97, 25, 86, 87, 95, 18]

Truck Route:
[0, 7, 63, 79, 51, 80, 76, 3, 75, 8, 48, 71, 93, 56, 38, 6, 68, 58, 23, 100, 57, 11, 24, 1, 55, 72, 78, 82, 28, 61, 14, 12, 90, 0]

UAV Sorties:
(2, 0, 26, 7)
(3, 0, 31, 7)
(2, 3, 73, 75)
(2, 82, 83, 28)
(2, 28, 43, 61)
(4, 0, 39, 7)
(2, 56, 67, 38)
(3, 56, 41, 38)
(2, 38, 89, 6)
(3, 3, 53, 75)
(2, 58, 35, 23)
(3, 58, 5, 23)
(2, 51, 34, 80)
(4, 58, 46, 23)
(4, 3, 22, 75)
(3, 38, 66, 6)
(3, 82, 29, 28)
(2, 55, 17, 72)
(2, 23, 92, 100)
(2, 78, 44, 82)
(4, 56, 88, 38)
(3, 23, 64, 100)
(2, 80, 84, 76)
(3, 55, 32, 72)
(4, 82, 99, 28)
(3, 80, 81, 76)
(3, 51, 19, 80)
(3, 28, 52, 61)
(4, 51, 50, 80)
(4, 80, 45, 76)
(4, 28, 94, 61)
(2, 100, 65, 57)
(2, 63, 85, 79)
(4, 38, 33, 6)
(2, 72, 21, 78)
(2, 6, 4, 68)
(3, 6, 2, 68)
(2, 71, 62, 93)
(3, 71, 49, 93)
(2, 24, 40, 1)
(3, 72, 27, 78)
(2, 48, 37, 71)
(4, 71, 60, 93)
(4, 55, 47, 72)
(4, 23, 69, 100)
(2, 75, 42, 8)
(3, 75, 13, 8)
(2, 79, 96, 51)
(2, 57, 20, 11)
(4, 72, 91, 78)
(3, 78, 59, 82)
(4, 78, 30, 82)
(3, 57, 15, 11)
(3, 79, 16, 51)
(4, 75, 36, 8)
(2, 7, 70, 63)
(4, 79, 9, 51)
(3, 7, 74, 63)
(4, 7, 54, 63)
(4, 6, 10, 68)
(2, 8, 77, 48)
(3, 8, 97, 48)
(3, 63, 25, 79)
(4, 8, 86, 48)
(2, 76, 87, 3)
(3, 76, 95, 3)
(4, 76, 18, 3)

Activity Log:
{'time': 0, 'activity': 'truck_arrive', 'node': 0}
{'time': 60.0, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 0, 'uav_customer': 26, 'recovery_node': 7, 'uav_expected_recovery_time': 525.3607371862978}
{'time': 120.0, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 0, 'uav_customer': 31, 'recovery_node': 7, 'uav_expected_recovery_time': 585.7442227001764}
{'time': 180.0, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 0, 'uav_customer': 39, 'recovery_node': 7, 'uav_expected_recovery_time': 640.4385008244822}
{'time': 644.756398, 'activity': 'truck_travel_done', 'from': 0, 'to': 7}
{'time': 644.756398, 'activity': 'truck_arrive', 'node': 7}
{'time': 674.756398, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 0, 'uav_customer': 26, 'recovery_node': 7}
{'time': 704.756398, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 0, 'uav_customer': 31, 'recovery_node': 7}
{'time': 734.756398, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 0, 'uav_customer': 39, 'recovery_node': 7}
{'time': 764.756398, 'activity': 'truck_service_done', 'node': 7}
{'time': 824.756398, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 7, 'uav_customer': 70, 'recovery_node': 63, 'uav_expected_recovery_time': 1139.3073211762796}
{'time': 884.756398, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 7, 'uav_customer': 74, 'recovery_node': 63, 'uav_expected_recovery_time': 1238.9687881167033}
{'time': 944.756398, 'activity': 'uav_launched', 'uav': 4, 'launch_node': 7, 'uav_customer': 54, 'recovery_node': 63, 'uav_expected_recovery_time': 1308.9177775343944}
{'time': 1141.088773, 'activity': 'truck_travel_done', 'from': 7, 'to': 63}
{'time': 1141.088773, 'activity': 'truck_arrive', 'node': 63}
{'time': 1171.088773, 'activity': 'uav_recovered', 'uav': 2, 'launch_node': 7, 'uav_customer': 70, 'recovery_node': 63}
{'time': 1268.9687881167033, 'activity': 'uav_recovered', 'uav': 3, 'launch_node': 7, 'uav_customer': 74, 'recovery_node': 63}
{'time': 1338.9177775343944, 'activity': 'uav_recovered', 'uav': 4, 'launch_node': 7, 'uav_customer': 54, 'recovery_node': 63}
{'time': 1368.9177775343944, 'activity': 'truck_service_done', 'node': 63}
{'time': 1428.9177775343944, 'activity': 'uav_launched', 'uav': 2, 'launch_node': 63, 'uav_customer': 85, 'recovery_node': 79, 'uav_expected_recovery_time': 1639.224786970299}
{'time': 1488.9177775343944, 'activity': 'uav_launched', 'uav': 3, 'launch_node': 63, 'uav_customer': 25, 'recovery_node': 79, 'uav_expected_recovery_time': 1917.0188216734916}
